,FirstName,LastName,State,Party,Cluster,VotesWParty,VotesWCluster
N00000078,Carolyn,Maloney,NY,D,1.0,0.921475123192,0.920669970213
N00000153,Richard,Neal,MA,D,4.0,0.930531538208,0.237724848119
N00000179,Jim,McGovern,MA,D,1.0,0.934553872054,0.938389785537
N00000267,Michael,Capuano,MA,D,1.0,0.919589920949,0.922005379886
N00000270,Edward,Markey,MA,D,2.0,0.910509075773,0.837296632101
N00000362,Jack,Reed,RI,D,1.0,0.965018006768,0.98194798849
N00000491,Susan,Collins,ME,R,0.0,0.752167146244,0.862189405867
N00000515,Peter,Welch,VT,D,1.0,0.926408101465,0.928635729551
N00000528,Bernard,Sanders,VT,I,2.0,0.535208208915,0.481287438696
N00000575,John,Larson,CT,D,1.0,0.923000384278,0.923805537257
N00000615,Rosa,DeLauro,CT,D,1.0,0.933414763578,0.934835218123
N00000684,Rodney,Frelinghuysen,NJ,R,4.0,0.926175248865,0.926980401845
N00000699,Robert,Menendez,NJ,D,2.0,0.910744340084,0.861601245091
N00000743,Scott,Garrett,NJ,R,4.0,0.902024090543,0.902829243522
N00000751,Bill,Pascrell Jr.,NJ,D,1.0,0.931807888669,0.931192587103
N00000781,Frank,Pallone,NJ,D,2.0,0.940995095886,0.574610461499
N00000851,Frank,LoBiondo,NJ,R,0.0,0.845814348192,0.848845108696
N00000898,Leonard,Lance,NJ,R,4.0,0.914526835383,0.915331988362
N00000939,Jerrold,Nadler,NY,D,1.0,0.892569094566,0.892569094566
N00000964,Charles,Rangel,NY,D,1.0,0.930331805962,0.932747264899
N00001003,Eliot,Engel,NY,D,1.0,0.900458211524,0.89822244338
N00001024,Nita,Lowey,NY,D,1.0,0.962171632353,0.959756173415
N00001093,Charles,Schumer,NY,D,0.0,0.96389597698,0.544682121722
N00001102,Nydia,Velazquez,NY,D,1.0,0.94794841492,0.951794489022
N00001127,Joseph,Crowley,NY,D,4.0,0.944102340818,0.24505677538
N00001171,Gregory,Meeks,NY,D,4.0,0.841170616409,0.221541470562
N00001193,Peter,King,NY,R,1.0,0.902073268921,0.320023148148
N00001285,Chris,Collins,NY,R,4.0,0.931241765481,0.929016157956
N00001311,Louise,Slaughter,NY,D,1.0,0.935742158908,0.939578072391
N00001373,Mike,Doyle,PA,D,1.0,0.921769781145,0.921154479578
N00001489,Patrick,Toomey,PA,R,0.0,0.831161662776,0.750104059214
N00001619,Robert,Brady,PA,D,0.0,0.91381660811,0.235404314888
N00001633,Joe,Pitts,PA,R,4.0,0.941184947299,0.941800248865
N00001692,Eleanor,Norton,DC,D,1.0,,
N00001746,Chaka,Fattah,PA,D,1.0,0.640579178886,0.641999633431
N00001758,Charles,Grassley,IA,R,0.0,0.922896646579,0.853104584035
N00001811,Lamar,Smith,TX,R,4.0,0.956103151076,0.955297998097
N00001813,Josթ,Serrano,NY,D,1.0,0.966897233202,0.967512534768
N00001821,Steny,Hoyer,MD,D,4.0,0.926456594935,0.249327514273
N00001945,Barbara,Mikulski,MD,D,0.0,0.904609370758,0.533887109326
N00001955,Benjamin,Cardin,MD,D,0.0,0.969795681995,0.561376839134
N00001971,Elijah,Cummings,MD,D,1.0,0.949046625677,0.950656931635
N00002097,Mark,Warner,VA,D,0.0,0.836292234468,0.576777602838
N00002147,Robert,Scott,VA,D,1.0,0.97111284951,0.970307696531
N00002221,Richard,Burr,NC,R,0.0,0.917114573719,0.878766491123
N00002260,David,Price,NC,D,1.0,0.945316025408,0.94290056647
N00002299,Walter,Jones,NC,R,2.0,0.678320798565,0.572996724491
N00002408,James,Clyburn,SC,D,1.0,0.902829243522,0.903634396501
N00002424,Mark,Sanford,SC,R,3.0,0.832031821842,0.808165440638
N00002593,Johnny,Isakson,GA,R,0.0,0.919711529761,0.872513889643
N00002674,Sanford,Bishop Jr.,GA,D,1.0,0.86697706229,0.86617190931
N00002713,Corrine,Brown,FL,D,1.0,0.818425422705,0.818425422705
N00002793,John,Mica,FL,R,4.0,0.955818373957,0.953592766432
N00002858,Ileana,Ros-Lehtinen,FL,R,0.0,0.828856957254,0.831887717757
N00002884,Alcee,Hastings,FL,D,1.0,0.799340780998,0.799340780998
N00002893,Lois,Frankel,FL,D,1.0,0.958894881789,0.956479422852
N00003028,Robert,Aderholt,AL,R,4.0,0.936118430684,0.933892823159
N00003062,Jeff,Sessions,AL,R,4.0,0.844200734749,0.0
N00003105,Marsha,Blackburn,TN,R,4.0,0.938249112502,0.939054265481
N00003132,Jim,Cooper,TN,D,4.0,0.854948945982,0.3673373225
N00003209,John,Duncan Jr.,TN,R,4.0,0.871621559801,0.87242671278
N00003225,Steve,Cohen,TN,D,1.0,0.921056122822,0.921861275801
N00003280,Roger,Wicker,MS,R,0.0,0.912101634182,0.843549233581
N00003288,Bennie,Thompson,MS,D,1.0,0.918693273313,0.919498426292
N00003328,Thad,Cochran,MS,R,2.0,0.882132580488,0.54763197423
N00003389,Mitch,McConnell,KY,R,2.0,0.876468139783,0.570226396656
N00003467,Edward,Whitfield,KY,R,4.0,0.840559188584,0.840186952068
N00003473,Harold,Rogers,KY,R,4.0,0.93881866674,0.938203365173
N00003522,Marcy,Kaptur,OH,D,1.0,0.925890471746,0.924375091495
